EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
83668,1468075,SKYVIEW PARK,,2800 WATTERSON TRAIL,,LOUISVILLE,KY,40299,FOOD SERVICE,38.2049,-85.5594,5/7/19 0:00,,,SKYVIEW PARK,
101055,1468109,GOLDEN CORRAL,,5362 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1573,-85.8349,4/27/19 0:00,,,GOLDEN CORRAL,
96401,1445895,DOUBLE DRAGON II,,3133 S 2ND ST,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2036,-85.7632,1/27/19 0:00,,,DOUBLE DRAGON II,
54481,1446075,TEXAS ROADHOUSE,,4406 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1836,-85.8162,1/29/19 0:00,,,TEXAS ROADHOUSE,
106847,1445979,STEVE O'S ITALIAN KITCHEN,,2230 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,38.2533,-85.7048,1/18/19 0:00,97,,STEVE O'S ITALIAN KITCHEN,
106663,1448994,GRASSA GRAMMA,,2210 HOLIDAY MANOR CENTER,,LOUISVILLE,KY,40222,FOOD SERVICE,38.2839,-85.6325,2/7/19 0:00,,,GRASSA GRAMMA,
33122,1460750,EL NOPAL,,9451 WESTPORT RD,,LOUISVILLE,KY,40241,FOOD SERVICE,38.2879,-85.5773,4/2/19 0:00,,,EL NOPAL,
78567,1460783,IMPELLIZZERI'S,,1381 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2338,-85.7116,4/3/19 0:00,,,IMPELLIZZERI'S,
92610,1464414,MCDONALD'S,,1245 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,38.142,-85.431,4/17/19 0:00,,,MCDONALD'S,
107593,1464589,WENDYS,,5036 MUD LN,,LOUISVILLE,KY,40229,FOOD SERVICE,38.0923,-85.6697,3/20/19 0:00,90,,WENDYS,
107587,1464597,WENDYS,,4312 CANE RUN RD,,LOUISVILLE,KY,40216,FOOD SERVICE,38.2,-85.8371,3/25/19 0:00,90,,WENDYS,
107586,1464600,WENDYS,,3301 CANE RUN RD,,LOUISVILLE,KY,40211,FOOD SERVICE,38.224,-85.8093,3/20/19 0:00,97,,WENDYS,
43827,1449231,U OF L BELKNAP UNIVERSITY CLUB,,200 E BRANDEIS AVE,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2187,-85.7561,2/6/19 0:00,,,U OF L BELKNAP UNIVERSITY CLUB,
99415,1449232,DUNKIN DONUTS,,4611 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1775,-85.8189,2/5/19 0:00,,,DUNKIN DONUTS,
71263,1449294,CHEER KING STAR,,231 S 5TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2545,-85.7584,1/15/19 0:00,,,CHEER KING STAR,
105897,1457224,LAS CAZUELAS,,4214 BISHOP LN,,LOUISVILLE,KY,40218,FOOD SERVICE,38.2003,-85.6868,3/14/19 0:00,,,LAS CAZUELAS,
43827,1460871,U OF L BELKNAP UNIVERSITY CLUB,,200 E BRANDEIS AVE,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2187,-85.7561,4/2/19 0:00,,,U OF L BELKNAP UNIVERSITY CLUB,
107829,1468653,LONGSHOTS CAFE and BAR,,3309 CAMPGROUND RD,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1209,-85.4901,3/25/19 0:00,100,,LONGSHOTS CAFE and BAR,
106862,1446383,TOWNEPLACE SUITES,,6601 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,FOOD SERVICE,38.1536,-85.7129,1/28/19 0:00,100,,TOWNEPLACE SUITES,
106933,1449361,HALAL PIZZA and MORE,,5318 S 3RD ST,,LOUISVILLE,KY,40214,FOOD SERVICE,38.1705,-85.7682,2/5/19 0:00,96,,HALAL PIZZA and MORE,
107193,1457488,BAMBI BAR,,2701 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,38.2215,-85.6819,3/13/19 0:00,95,,BAMBI BAR,
78391,1461264,GOOSE CREEK DINER,,2923 GOOSE CREEK RD,,LOUISVILLE,KY,40241,FOOD SERVICE,38.2874,-85.578,4/5/19 0:00,,,GOOSE CREEK DINER,
107832,1468747,STARTING GATE #7,,700 CENTRAL AVE,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2041,-85.7717,4/23/19 0:00,94,,STARTING GATE #7,
39967,1442988,MCDONALD'S #35,,6701 DIXIE HWY,,LOUISVILLE,KY,40258,FOOD SERVICE,38.1526,-85.8356,1/3/19 0:00,,,MCDONALD'S #35,
39967,1443002,MCDONALD'S #35,,6701 DIXIE HWY,,LOUISVILLE,KY,40258,FOOD SERVICE,38.1526,-85.8356,1/3/19 0:00,,,MCDONALD'S #35,
84137,1446607,DRAGON KINGS DAUGHTER,,1126 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2378,-85.7198,1/29/19 0:00,,,DRAGON KINGS DAUGHTER,
86913,1442889,MOBY DICK,,12416 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,38.758,-85.8844,1/7/19 0:00,,,MOBY DICK,
103368,1442899,TACO LUCHADOR,,112 MERIDIAN AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,38.2521,-85.6533,1/15/19 0:00,,,TACO LUCHADOR,
